sector,horizon,config,fold,n_train,n_test,rows_per_feature,train_r2,test_r2,gap,train_dir_acc,test_dir_acc
Manuf,6,"shallow (d2, n100)",4,293,75,8.9,0.3860160980916978,-0.3076055712055834,0.6936216692972812,0.7542662116040956,0.49333333333333335
Manuf,6,"shallow (d2, n100)",5,368,75,11.2,0.33065979095397957,-0.038421838935801755,0.3690816298897813,0.7282608695652174,0.48
Manuf,6,"stumps (d1, n50)",1,68,75,2.1,0.09064683585411382,0.02129829206260181,0.06934854379151201,0.75,0.5866666666666667
Manuf,6,"stumps (d1, n50)",2,143,75,4.3,0.20857590284866134,-0.24197925603758752,0.45055515888624886,0.6853146853146853,0.49333333333333335
Manuf,6,"stumps (d1, n50)",3,218,75,6.6,0.2361703970455442,-0.04736289261480664,0.28353328966035085,0.6834862385321101,0.6533333333333333
Manuf,6,"stumps (d1, n50)",4,293,75,8.9,0.2159782573176553,-0.10365537987834039,0.3196336371959957,0.6825938566552902,0.52
Manuf,6,"stumps (d1, n50)",5,368,75,11.2,0.18535457863270144,-0.02391127480830968,0.20926585344101112,0.654891304347826,0.49333333333333335
Shops,1,"current (d3, n300)",1,77,75,2.3,-2.220446049250313e-16,-0.02962101527180061,0.02962101527180039,0.5844155844155844,0.4666666666666667
Shops,1,"current (d3, n300)",2,152,75,4.6,0.03629565004625024,-0.011245721624213889,0.04754137167046413,0.6513157894736842,0.4
Shops,1,"current (d3, n300)",3,227,75,6.9,0.13769408096153046,-0.07277653445625853,0.210470615417789,0.6696035242290749,0.44
Shops,1,"current (d3, n300)",4,302,75,9.2,0.17097062090895254,0.11223328807680977,0.058737332832142775,0.6986754966887417,0.5733333333333334
Shops,1,"current (d3, n300)",5,377,75,11.4,0.18010520854882683,-0.07277548437715775,0.2528806929259846,0.6816976127320955,0.48
Shops,1,"shallow (d2, n100)",1,77,75,2.3,-2.220446049250313e-16,-0.02962101527180061,0.02962101527180039,0.5844155844155844,0.4666666666666667
Shops,1,"shallow (d2, n100)",2,152,75,4.6,0.01785804486361897,-0.007144947628768161,0.025002992492387133,0.6052631578947368,0.38666666666666666
Shops,1,"shallow (d2, n100)",3,227,75,6.9,0.06325686425320387,-0.04107513248286021,0.10433199673606408,0.6563876651982379,0.41333333333333333
Shops,1,"shallow (d2, n100)",4,302,75,9.2,0.07930334301017916,0.09010185673702131,-0.010798513726842152,0.6490066225165563,0.64
Shops,1,"shallow (d2, n100)",5,377,75,11.4,0.09806304845854374,-0.032759709732767206,0.13082275819131095,0.6657824933687002,0.48
Shops,1,"stumps (d1, n50)",1,77,75,2.3,-2.220446049250313e-16,-0.02962101527180061,0.02962101527180039,0.5844155844155844,0.4666666666666667
Shops,1,"stumps (d1, n50)",2,152,75,4.6,0.0048560211235090245,-0.0027778765108765757,0.0076338976343856,0.6118421052631579,0.38666666666666666
Shops,1,"stumps (d1, n50)",3,227,75,6.9,0.014316452566308202,-0.0097802244401759,0.024096677006484102,0.5682819383259912,0.4666666666666667
Shops,1,"stumps (d1, n50)",4,302,75,9.2,0.0223989057861379,0.039367316816152575,-0.016968411030014674,0.5827814569536424,0.6666666666666666
Shops,1,"stumps (d1, n50)",5,377,75,11.4,0.03164712668047398,-0.00489885978671456,0.03654598646718854,0.5888594164456233,0.5066666666666667
